,TCGA,miRTarBase
132,hsa-mir-148a,hsa-miR-148a-3p
133,hsa-mir-148b,hsa-miR-148b-5p
134,hsa-mir-149,hsa-miR-149-5p
135,hsa-mir-150,hsa-miR-150-5p
136,hsa-mir-151a,hsa-miR-151a-3p
137,hsa-mir-151b,hsa-miR-151b
138,hsa-mir-152,hsa-miR-152-5p
139,hsa-mir-1537,hsa-miR-1537-5p
140,hsa-mir-1538,hsa-miR-1538
141,hsa-mir-1539,hsa-miR-1539
142,hsa-mir-154,hsa-miR-154-3p
143,hsa-mir-155,hsa-miR-155-5p
144,hsa-mir-1587,hsa-miR-1587
145,hsa-mir-15a,hsa-miR-15a-5p
146,hsa-mir-15b,hsa-miR-15b-5p
147,hsa-mir-16-1,hsa-miR-16-1-3p
148,hsa-mir-16-2,hsa-miR-16-2-3p
149,hsa-mir-17,hsa-miR-17-3p
150,hsa-mir-181a-2,hsa-miR-181a-2-3p
151,hsa-mir-181b-2,hsa-miR-181b-2-3p
152,hsa-mir-181c,hsa-miR-181c-3p
153,hsa-mir-181d,hsa-miR-181d-5p
154,hsa-mir-182,hsa-miR-182-5p
155,hsa-mir-1825,hsa-miR-1825
156,hsa-mir-183,hsa-miR-183-5p
157,hsa-mir-184,hsa-miR-184
158,hsa-mir-185,hsa-miR-185-3p
159,hsa-mir-186,hsa-miR-186-3p
160,hsa-mir-187,hsa-miR-187-3p
161,hsa-mir-188,hsa-miR-188-3p
162,hsa-mir-18a,hsa-miR-18a-5p
163,hsa-mir-18b,hsa-miR-18b-3p
164,hsa-mir-1908,hsa-miR-1908-3p
165,hsa-mir-1909,hsa-miR-1909-5p
